episode,reward_first0,reward_second0,rolling_avg_30,epsilon
402,4.0,-4.0,0.07,0.2
403,0.0,0.0,-0.37,0.2
404,4.0,-4.0,0.33,0.2
405,-1.0,1.0,0.2,0.2
406,2.0,-2.0,0.4,0.2
407,-3.0,3.0,0.47,0.2
408,-1.0,1.0,0.5,0.2
409,7.0,-7.0,0.47,0.2
410,0.0,0.0,0.73,0.2
411,-6.0,6.0,0.47,0.2
412,-5.0,5.0,0.6,0.2
413,-8.0,8.0,0.4,0.2
414,0.0,0.0,0.3,0.2
415,1.0,-1.0,0.3,0.2
416,-8.0,8.0,-0.13,0.2
417,4.0,-4.0,-0.03,0.2
418,5.0,-5.0,-0.07,0.2
419,3.0,-3.0,0.1,0.2
420,-2.0,2.0,-0.3,0.2
421,-7.0,7.0,-0.27,0.2
422,2.0,-2.0,-0.07,0.2
423,4.0,-4.0,0.1,0.2
424,-2.0,2.0,-0.37,0.2
425,-16.0,16.0,-0.63,0.2
426,-3.0,3.0,-0.67,0.2
427,2.0,-2.0,-0.67,0.2
428,-2.0,2.0,-0.8,0.2
429,3.0,-3.0,-1.1,0.2
430,-9.0,9.0,-0.9,0.2
431,0.0,0.0,-1.07,0.2
432,4.0,-4.0,-1.07,0.2
433,-2.0,2.0,-1.13,0.2
434,7.0,-7.0,-1.03,0.2
435,7.0,-7.0,-0.77,0.2
436,-2.0,2.0,-0.9,0.2
437,-9.0,9.0,-1.1,0.2
438,9.0,-9.0,-0.77,0.2
439,-17.0,17.0,-1.57,0.2
440,9.0,-9.0,-1.27,0.2
441,8.0,-8.0,-0.8,0.2
442,-2.0,2.0,-0.7,0.2
443,5.0,-5.0,-0.27,0.2
444,1.0,-1.0,-0.23,0.2
445,-13.0,13.0,-0.7,0.2
446,-4.0,4.0,-0.57,0.2
447,-2.0,2.0,-0.77,0.2
448,2.0,-2.0,-0.87,0.2
449,-2.0,2.0,-1.03,0.2
450,-1.0,1.0,-1.0,0.2
451,-4.0,4.0,-0.9,0.2
452,-3.0,3.0,-1.07,0.2
453,5.0,-5.0,-1.03,0.2
454,-7.0,7.0,-1.2,0.2
455,2.0,-2.0,-0.6,0.2
456,-11.0,11.0,-0.87,0.2
457,5.0,-5.0,-0.77,0.2
458,-24.0,24.0,-1.5,0.2
459,-14.0,14.0,-2.07,0.2
460,8.0,-8.0,-1.5,0.2
461,-4.0,4.0,-1.63,0.2
462,-10.0,10.0,-2.1,0.2
463,4.0,-4.0,-1.9,0.2
464,-1.0,1.0,-2.17,0.2
465,-5.0,5.0,-2.57,0.2
466,30.0,-30.0,-1.5,0.2
467,0.0,0.0,-1.2,0.2
468,-11.0,11.0,-1.87,0.2
469,8.0,-8.0,-1.03,0.2
470,2.0,-2.0,-1.27,0.2
471,-11.0,11.0,-1.9,0.2
472,-7.0,7.0,-2.07,0.2
473,5.0,-5.0,-2.07,0.2
474,-5.0,5.0,-2.27,0.2
475,-10.0,10.0,-2.17,0.2
476,-6.0,6.0,-2.23,0.2
477,3.0,-3.0,-2.07,0.2
478,2.0,-2.0,-2.07,0.2
479,-3.0,3.0,-2.1,0.2
480,-4.0,4.0,-2.2,0.2
481,-3.0,3.0,-2.17,0.2
482,2.0,-2.0,-2.0,0.2
483,5.0,-5.0,-2.0,0.2
484,0.0,0.0,-1.77,0.2
485,-2.0,2.0,-1.9,0.2
486,-22.0,22.0,-2.27,0.2
487,-5.0,5.0,-2.6,0.2
488,-10.0,10.0,-2.13,0.2
489,-4.0,4.0,-1.8,0.2
490,0.0,0.0,-2.07,0.2
491,0.0,0.0,-1.93,0.2
492,-8.0,8.0,-1.87,0.2
493,-11.0,11.0,-2.37,0.2
494,-1.0,1.0,-2.37,0.2
495,0.0,0.0,-2.2,0.2
496,-10.0,10.0,-3.53,0.2
497,-1.0,1.0,-3.57,0.2
498,-9.0,9.0,-3.5,0.2
499,1.0,-1.0,-3.73,0.2
500,-14.0,14.0,-4.27,0.2
501,-3.0,3.0,-4.0,0.2
502,-1.0,1.0,-3.8,0.2
503,-7.0,7.0,-4.2,0.2
504,-15.0,15.0,-4.53,0.2
505,4.0,-4.0,-4.07,0.2
506,-7.0,7.0,-4.1,0.2
507,1.0,-1.0,-4.17,0.2
508,13.0,-13.0,-3.8,0.2
509,1.0,-1.0,-3.67,0.2
510,5.0,-5.0,-3.37,0.2
511,-1.0,1.0,-3.3,0.2
512,-4.0,4.0,-3.5,0.2
513,-23.0,23.0,-4.43,0.2
514,1.0,-1.0,-4.4,0.2
515,-16.0,16.0,-4.87,0.2
516,-12.0,12.0,-4.53,0.2
517,3.0,-3.0,-4.27,0.2
518,10.0,-10.0,-3.6,0.2
519,-6.0,6.0,-3.67,0.2
520,-9.0,9.0,-3.97,0.2
521,2.0,-2.0,-3.9,0.2
522,-2.0,2.0,-3.7,0.2
523,-15.0,15.0,-3.83,0.2
524,-10.0,10.0,-4.13,0.2
525,-1.0,1.0,-4.17,0.2
526,-3.0,3.0,-3.93,0.2
527,19.0,-19.0,-3.27,0.2
528,4.0,-4.0,-2.83,0.2
529,7.0,-7.0,-2.63,0.2
530,7.0,-7.0,-1.93,0.2
531,3.0,-3.0,-1.73,0.2
532,-4.0,4.0,-1.83,0.2
533,-9.0,9.0,-1.9,0.2
534,10.0,-10.0,-1.07,0.2
535,-4.0,4.0,-1.33,0.2
536,0.0,0.0,-1.1,0.2
537,8.0,-8.0,-0.87,0.2
538,-10.0,10.0,-1.63,0.2
539,-4.0,4.0,-1.8,0.2
540,2.0,-2.0,-1.9,0.2
541,3.0,-3.0,-1.77,0.2
542,-4.0,4.0,-1.77,0.2
543,9.0,-9.0,-0.7,0.2
