episode,reward_first0,reward_second0,rolling_avg_30,epsilon
370,-12.0,12.0,-5.93,0.2
371,1.0,-1.0,-5.03,0.2
372,-4.0,4.0,-5.2,0.2
373,0.0,0.0,-4.8,0.2
374,2.0,-2.0,-4.43,0.2
375,0.0,0.0,-4.13,0.2
376,-3.0,3.0,-4.03,0.2
377,2.0,-2.0,-3.83,0.2
378,-8.0,8.0,-4.13,0.2
379,0.0,0.0,-3.93,0.2
380,0.0,0.0,-3.9,0.2
381,-3.0,3.0,-3.9,0.2
382,0.0,0.0,-3.87,0.2
383,-21.0,21.0,-4.33,0.2
384,2.0,-2.0,-4.13,0.2
385,0.0,0.0,-3.93,0.2
386,-7.0,7.0,-4.17,0.2
387,-7.0,7.0,-3.93,0.2
388,-9.0,9.0,-4.27,0.2
389,-9.0,9.0,-4.47,0.2
390,-11.0,11.0,-4.77,0.2
391,2.0,-2.0,-4.27,0.2
392,2.0,-2.0,-4.07,0.2
393,-6.0,6.0,-4.07,0.2
394,2.0,-2.0,-3.73,0.2
395,-10.0,10.0,-3.87,0.2
396,-5.0,5.0,-4.1,0.2
397,-1.0,1.0,-4.1,0.2
398,-4.0,4.0,-3.8,0.2
399,3.0,-3.0,-3.47,0.2
400,3.0,-3.0,-2.97,0.2
401,-1.0,1.0,-1.0,0.2
402,1.0,-1.0,0.0,0.2
403,5.0,-5.0,1.67,0.2
404,-4.0,4.0,0.25,0.2
405,-7.0,7.0,-1.2,0.2
406,-7.0,7.0,-2.17,0.2
407,-5.0,5.0,-2.57,0.2
408,-5.0,5.0,-2.88,0.2
409,5.0,-5.0,-2.0,0.2
410,-3.0,3.0,-2.1,0.2
411,1.0,-1.0,-1.82,0.2
412,-8.0,8.0,-2.33,0.2
413,-6.0,6.0,-2.62,0.2
414,-7.0,7.0,-2.93,0.2
415,-2.0,2.0,-2.87,0.2
416,-8.0,8.0,-3.19,0.2
417,-3.0,3.0,-3.18,0.2
418,-6.0,6.0,-3.33,0.2
419,-7.0,7.0,-3.53,0.2
420,-8.0,8.0,-3.75,0.2
421,0.0,0.0,-3.57,0.2
422,-6.0,6.0,-3.68,0.2
423,10.0,-10.0,-3.09,0.2
424,-3.0,3.0,-3.08,0.2
425,1.0,-1.0,-2.92,0.2
426,0.0,0.0,-2.81,0.2
427,-3.0,3.0,-2.81,0.2
428,-2.0,2.0,-2.79,0.2
429,-9.0,9.0,-3.0,0.2
430,-5.0,5.0,-3.07,0.2
431,-18.0,18.0,-3.63,0.2
432,-3.0,3.0,-3.77,0.2
433,1.0,-1.0,-3.9,0.2
434,-12.0,12.0,-4.17,0.2
435,-3.0,3.0,-4.03,0.2
436,-2.0,2.0,-3.87,0.2
437,-25.0,25.0,-4.53,0.2
438,-1.0,1.0,-4.4,0.2
439,-15.0,15.0,-5.07,0.2
440,2.0,-2.0,-4.9,0.2
441,-5.0,5.0,-5.1,0.2
442,-6.0,6.0,-5.03,0.2
443,-6.0,6.0,-5.03,0.2
444,-6.0,6.0,-5.0,0.2
445,-13.0,13.0,-5.37,0.2
